C¢digo de Barras;Tipo de Produto;Descriá∆o;Preáo de Custo;Preáo Venda Varejo;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque m°nimo;Quantidade em Estoque;Marca;Modelo;C¢digo Balanáa;C¢digo Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Bot∆o PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preáo De;Preáo Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descriá∆o do Produto;Garantia;Itens Inclusos;Especificaá‰es
7,90E+12;Produto;MANTEIGA EXTRA LATA SEM SAL 200GR;7.90;10.99;Unidade;Sim;;;Sim;0.000;12.000;;;;;;Mercadoria para Revenda;;NACIONAL-IMP.INF. 40%;1702500;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;QUEIJO PARMESAO RALADO 100GR;5.70;8.99;Unidade;Sim;;;Sim;0.000;47.000;;;;;;Mercadoria para Revenda;;NACIONAL-IMP.INF. 40%;1702400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;REQUEIJAO CREMOSO ZERO LACTOSE COPO 180G;4.90;6.99;Unidade;Sim;;;Sim;0.000;12.000;GRAN MESTRI;;;;;Mercadoria para Revenda;;NACIONAL-IMP.INF. 40%;1702300;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;REQUEIJAO CREMOSO LIGHT COPO 180G - 24 UND;3.40;4.99;Unidade;Sim;;;Sim;0.000;24.000;GRAN MESTRI;;;;;Mercadoria para Revenda;;NACIONAL-IMP.INF. 40%;1702300;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;VINHO TTO SECO PETITE SYRAH ORGANICO BIANCHETTI;38.04;54.99;Unidade;Sim;VINHOS;;N∆o;0.000;0.000;ADEGA BIANCHETTI;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;VINHO TTO SECO TEMPRANILLO ORGANICO BIANCHETTI;38.04;54.99;Unidade;Sim;VINHOS;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;VINHO TTO SECO BARBERA ORGANICO BIANCHETTI;38.04;54.99;Unidade;Sim;VINHOS;;N∆o;0.000;0.000;ADEGA BIANCHETTI;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
1,83E+12;Produto;VINHO TTO SECO CABERNET SAUVIGNON BIANCHETTI;17.00;23.99;Unidade;Sim;VINHOS;;N∆o;0.000;0.000;ADEGA BIANCHETTI;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;SUCO DE UVA TINTO ORGANICO BIANCHETTI 1LITRO;13.83;18.99;Unidade;Sim;;;N∆o;0.000;0.000;ADEGA BIANCHETTI;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;VINHO ESPUMANTE NAT. BRUT BIANCHETTI;21.63;29.99;Unidade;Sim;ESPUMANTES;;N∆o;0.000;0.000;ADEGA BIANCHETTI;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;VINHO ESPUMANTE NAT. BRUT BIANCHETTI;21.63;29.99;Unidade;Sim;ESPUMANTES;;N∆o;0.000;0.000;ADEGA BIANCHETTI;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;VINHO PORTAL DO SOL TINTO SECO 750 ML;8.92;14.00;Unidade;Sim;VINHOS;;N∆o;0.000;0.000;ADEGA BIANCHETTI;;;;;;;;;;;;;;0.00;14.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;SUCO DE CANA DE ACUCAR 300 ML;5.29;7.49;Unidade;Sim;;;N∆o;0.000;0.000;ADEGA BIANCHETTI;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,90E+12;Produto;SUCO UVA TINTO ORG 300ML;6.21;8.99;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;20096900;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,00E+11;Produto;ABRIDOR DE GARRAFA CANTAGALLO;23.99;34.99;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;Cadastro autom†tico sincronizaá∆o PDV (08/09/2020);;;
4,30E+12;Produto;SWISS HOME 4PCS KNIFE SET CERAMIC COATING;200.00;349.99;Unidade;Sim;;;N∆o;0.000;0.000;;;;;;;;;;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;RUFFLES CEBOLA E SALSA 57 GR;3.25;6.00;Unidade;Sim;;;Sim;0.000;-181.000;;;;;;Mercadoria para Revenda;20052000;NACIONAL;;;;;;;0.00;6.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;RUFFLES CHURRASCO 57 GR;3.85;6.00;Unidade;Sim;;;Sim;0.000;58.000;;;;;;Mercadoria para Revenda;20052000;NACIONAL;;;;;;;0.00;6.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;RUFFLES ORIGINAL 57 GR;3.85;6.00;Unidade;Sim;;;Sim;0.000;160.000;;;;;;Mercadoria para Revenda;20052000;NACIONAL;;;;;;;0.00;6.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;CHEETOS BOLA 45 GR;1.69;3.50;Unidade;Sim;;;Sim;0.000;-168.000;;;;;;Mercadoria para Revenda;19041000;NACIONAL;;;;;;;0.00;3.50;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;CHEETOS ONDA REQUEIJAO 45 GR;2.30;3.50;Unidade;Sim;;;Sim;0.000;88.000;;;;;;Mercadoria para Revenda;19041000;NACIONAL;;;;;;;0.00;3.50;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;FANDANGOS PRESUNTO 52 GR;1.75;3.50;Unidade;Sim;;;Sim;0.000;-8.000;;;;;;Mercadoria para Revenda;19041000;NACIONAL;;;;;;;0.00;3.50;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;FANDANGOS QUEIJO 52 GR;1.75;3.50;Unidade;Sim;;;Sim;0.000;44.000;;;;;;Mercadoria para Revenda;19041000;NACIONAL;;;;;;;0.00;3.50;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;DORITOS SWEET CHILL 48 GR;2.89;5.00;Unidade;Sim;;;Sim;0.000;43.000;;;;;;Mercadoria para Revenda;19059090;NACIONAL;;;;;;;0.00;5.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;DORITOS NACHO 48 GR;3.57;6.00;Unidade;Sim;;;Sim;0.000;-66.000;;;;;;Mercadoria para Revenda;19059090;NACIONAL;;;;;;;0.00;6.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;CEBOLITOS 48 GR;2.35;3.99;Unidade;Sim;;;Sim;0.000;5.000;;;;;;Mercadoria para Revenda;19041000;NACIONAL;;;;;;;0.00;3.99;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;SENSACOES FRANGO GRELHADO 45 GR;3.88;6.00;Unidade;Sim;;;Sim;0.000;-25.000;;;;;;Mercadoria para Revenda;20052000;NACIONAL;;;;;;;0.00;6.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;BACONZITOS 55 GR;3.57;6.00;Unidade;Sim;;;Sim;0.000;25.000;;;;;;Mercadoria para Revenda;19059090;NACIONAL;;;;;;;0.00;6.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;STAX LAYS ELMA CHIPS CHEDDAR 156 GR;9.65;12.99;Unidade;Sim;;;Sim;0.000;-3.000;;;;;;Mercadoria para Revenda;20052000;NACIONAL;;;;;;;0.00;12.99;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;STAX LAYS ELMA CHIPS ORIGINAL 156 GR;9.34;12.99;Unidade;Sim;;;Sim;0.000;-8.000;;;;;;Mercadoria para Revenda;20052000;NACIONAL;;;;;;;0.00;12.99;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;NISSIN LAMEN CARNE COM TOMATE 85 GR;1.13;2.00;Unidade;Sim;;;Sim;0.000;0.000;;;;;;Mercadoria para Revenda;19023000;NACIONAL;;;;;;;0.00;2.00;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;NISSIN LAMEN CANJA DE GALINHA 75 GR;1.13;1.99;Unidade;Sim;;;Sim;0.000;-7.000;;;;;;Mercadoria para Revenda;19023000;NACIONAL;;;;;;;0.00;1.99;0.000;0.000;0.000;0.000;;;;
7,89E+12;Produto;NISSIN LAMEN CREM COST C/ MOL CHUR 88 GR;1.13;2.00;Unidade;Sim;;;Sim;0.000;15.000;;;;;;Mercadoria para Revenda;19023000;NACIONAL;;;;;;;0.00;2.00;0.000;0.000;0.000;0.000;;;;
